id,name,label,color
hardware,ハードウェア,HARDWARE
software,ソフトウェア,SOFTWARE
news,ニュース,NEWS

home,据え置き機,HOME
portable,携帯機,PORTABLE
arcade,アーケード,ARCADE,#53a01f
multi,マルチプラットフォーム,MULTI,#7846ad

fc,ファミコン,FC,#a94454
fcdc,ディスクシステム,FCDC,#a94454
datach,データック,DATACH
sfc,スーパーファミコン,SFC
n64,NINTENDO 64,N64,#4b4a4a
gc,ゲームキューブ,GC,#614ec0
wii,Wii,Wii,#90939c
wiiu,Wii U,Wii U,#0497be
switch,Nintendo Switch,Switch,#ba343d
switch2,Nintendo Switch 2,Switch 2,#ba343d
gb,ゲームボーイ,GB,#827e84
gbc,ゲームボーイカラー,GBC,#725ACE
gba,ゲームボーイアドバンス,GBA,#3b4290
nds,ニンテンドーDS,DS,#6c6d60
3ds,ニンテンドー3DS,3DS,#c04a4c

ps1,PlayStation,PS1,#838381
ps2,PlayStation 2,PS2,#2a61a5
ps3,PlayStation 3,PS3,#53545b
ps4,PlayStation 4,PS4,#13469f
ps5,PlayStation 5,PS5,#3d4350
psp,PlayStation Portable,PSP,#53545b
psvita,PlayStation Vita,PSVITA,#015FA5

msx2,MSX2,MSX2
md,メガドライブ,MD,#1d374e
ss,セガサターン,SS,#707177
dc,ドリームキャスト,DC
gg,ゲームギア,GG

ng,NEOGEO,NG,#3b3b3b
ngcd,NEOGEO CD,NGCD,#3b3b3b
ngp,ネオジオポケット,NGP
ngpc,ネオジオポケットカラー,NGPC

xbox,Xbox,Xbox
xbox360,Xbox 360,Xbox 360
pce,PCエンジン,PCE
pcfx,PC-FX,PC-FX
ws,ワンダースワン,WS
wsc,ワンダースワンカラー,WSC
pc,PC,PC
win,Windows,Win,#285778
mac,Mac,Mac,#556AD0
ios,iOS,iOS,#080808
android,Android,Android,#57BD6B
steam,Steam,Steam,#145F8F

nintendo,任天堂,NINTENDO,#e70013
sony,ソニー,SONY,#0070d1
sega,セガ,SEGA,#0082c9
snk,SNK,SNK,#008ed7
microsoft,マイクロソフト,Microsoft
pokemon,ポケモン,Pokémon
gamefreak,ゲームフリーク,Game Freak
culturebrain,カルチャーブレイン,Culture Brain
enix,エニックス,ENIX
square,スクウェア,SQUARE
square-enix,スクウェア・エニックス,SQUARE ENIX
quest,クエスト,QUEST
chunsoft,チュンソフト,CHUNSOFT
spike,スパイク,SPIKE
spike-chunsoft,スパイク・チュンソフト,SPIKE CHUNSOFT
acquire,アクワイア,ACQUIRE
k2,ケーツー,K2
from-software,フロム・ソフトウェア,FROM SOFTWARE
atlus,アトラス,ATLUS
vanillaware,ヴァニラウェア,VANILLAWARE
nipponichi,日本一ソフトウェア,NIPPONICHI
falcom,日本ファルコム,FALCOM
bandai,バンダイ,BANDAI
banpresto,バンプレスト,BANPRESTO
namco,ナムコ,NAMCO
bandai-namco,バンダイナムコ,BANDAI NAMCO
konami,コナミ,KONAMI
epoch,エポック社,EPOCH
hudson,ハドソン,Hudson
sunsoft,サンソフト,SUNSOFT
compile,コンパイル,COMPILE
ascii,アスキー,ASCII
takara,タカラ,Takara
victor,ビクター,Victor
technos,テクノスジャパン,Technos Japan
mesaya,メサイヤ,MESAYA
natsume,ナツメ,Natsume
datam,データム・ポリスター,DATAM
athena,アテナ,ATHENA
sacnoth,サクノス,SACNOTH
nautilus,ノーチラス,NAUTILUS
capcom,カプコン,CAPCOM
adk,ADK,ADK
arcsys,アークシステムワークス,ARCSYS
dataeast,データイースト,DATAEAST
treasure,トレジャー,TREASURE
taito,タイトー,TAITO
tecmo,テクモ,TECMO
nec,NEC,NEC
3do,3DO,3DO
brøderbund,ブローダーバンド,Brøderbund

japan,日本,JAPAN
world,世界,WORLD
food,食品,FOOD
toy,おもちゃ,TOY
service,サービス,SERVICE
digital,デジタル,DIGITAL
music,音楽,MUSIC
manga,漫画,MANGA
film,映画,FILM
anime,アニメ,ANIME
drama,ドラマ,DRAMA

google,Google,Google
amazon,Amazon,Amazon
apple,Apple,Apple
ghibli,スタジオジブリ,Studio Ghibli